tweet,label
Aplikasi ini kurang smooth padahal sinyal bagus untuk buka youtube game aman saja lancar tapi begitu buka aplikasi ini loadingnya lama banget plus selalu eror tolong segera diperbaiki;0,0
Aplikasi yang membingungkan . Udah pernah masuk . Saya log out . Mau masuk lagi tapi lupa kata sandi . Setelah masukin emailnya . Kok malah email tidak terefensi oleh sistem .;0,0
Aplikasi mobile JKN nya selalu minta pendaftaran ulang pada hal data saya sudah terdaftar . Mengapa demikian TOLONG DI PERHATIKAN APLIKASI INI TOLONG DI CEK LAGI APA APLIKASI INI RUSAK APA GAK JANGAN YANG DI PERHATIKAN IURAN AJA APLIKASI NYA JUGA DI PERHATIKAN;0,0
Sangat kecewa. Aplikasinya tidak bisa digunakan. Bagaimana saya bisa mencetak kartu sedangkan daftar mobile jkn aja susah dan nomor bpjs punya saya aja belum tau. Tolong di perbarui dan dipermudah untuk menggunakan layanan aplikasi ini.;0,0
Allah Ta’ala berfirman يَمْحَقُ اللَّهُ الرِّبَا وَيُرْبِي الصَّدَقَاتِ وَاللَّهُ لَا يُحِبُّ كُلَّ كَفَّارٍ أَثِيمٍ “Allah memusnahkan riba dan menyuburkan sedekah. Dan Allah tidak menyukai setiap orang yang tetap dalam kekafiran dan selalu berbuat dosa.” (QS. Al Baqarah [2]: 276);0,0
Mending gak usah ada aplikasi... Biar pekerja bpjs ga makan gaji buta aplikasi gak mutu... Mending benerin pelayanan mau ganti kelas mau gimana juga langsung muncul notif transaksi belum dapat dilakukan kontrol RS klinik kemitraan bikin petugas sidak biar pada tau di lapangan kyk gimana.....;0,0
Aplikasi ga guna kyknya ini mau ganti kelas mau gimana juga langsung muncul notif transaksi belum dapat dilakukan coba beberapa saat. Sampe kapan hah BPJS sibuk ngapain sii BURUK PELAYANAN BURUK;0,0
Selalu harus update pembaruan aplikasi. Setelah di-update login lagi. Aplikasi ini ga familiar untuk lansia. Hanya golongan peserta menengah ke atas yg punya aplikasi ini.;0,0
Tidak bisa d bukasuruh nunggu terus.ada apa ini dengan aplikasi nya.padahal lagi butuh bangat buat daftarin dedek yg baru lahir.udh hampir 1 bulan umur dedek belum punya bpjs.urus ke kantor cabang ngantri dan takut kena korona juga.;0,0
Sudah pasang bisa dibuka ga bisa ubah data peserta. Giliran buka lagi suruh update. Habis di update malah suruh daftar awal lagi nomor email dll.;0,0
aplikasi tidak dapat login terus aja gitu sampe patung pancoran bisa jalan sudah 2 bulan lebih aplikasi tidak bisa dibuka tolong perbaiki;0,0
Setelah diupdate jadi tidak bisa login padahal email dan password sudah benar... Captcha juga sudah benar tapi gak bisa login .. segera diperbaiki jangan kecewakan rakyat jon!;0,0
"Minta tolong sistemnya diperbaiki. Masa iya mau daftar stuck di bagian konfirmasi email. Terus ada tulisan ""transaksi belum dapat diproses, silahkan coba beberapa saat lagi"".;0",0
Disaat wabah seperti ini harusnya JKN mobile bisa dioptimalkan utk menghindari kunjungan ke kantor tp ya apa daya seperti BPJS pada umumnya selalu dikecewakan Aplikasinya busuuuuuukkkkkkk;0,0
Saya sudah daftar tapi kenapa tidak bisa di login?? Diganti kode capta-nya hp di restart berulang kali tetep aja gak bisa login..! Ini gimana sih? !;0,0
